Country,Year,Maize_Tons,Rice_Tons,Yam_Tons,Chicken_Tons
Afghanistan,2021,180000,458571.625,73493224,28029.23046875
Africa,2021,96637312,37188988,73493224,7250986.5
Africa (FAO),2021,96637312,37188988,1035044.5,7250986.5
Albania,2021,414270.8125,0,138.55999755859375,13250
Algeria,2021,18491,314.29000854492188,183410.8125,257644.625
Americas (FAO),2021,592356352,37735464,183410.8125,50175664
Angola,2021,2970208,10514,315.95001220703125,39950.62890625
Antigua and Barbuda,2021,10.680000305175781,1404980,620233,25.600000381469727
Argentina,2021,60525804,477693376,200000,2055000
Armenia,2021,6000,690560192,245000,9700
Asia,2021,378856384,690560192,91577,37455616
Asia (FAO),2021,378856384,50226.328125,4004.35009765625,37479472
Australia,2021,305655.875,26777904,556647,1191322
Austria,2021,2434900,4404,987483.0625,125900
Azerbaijan,2021,279248.3125,16202.7900390625,160000,95517
Bahamas,2021,668.489990234375,281427.625,21338,6772.41015625
Bangladesh,2021,4116438,83332,190000,8222.25
Barbados,2021,49.900001525878906,406954,76600,190457.484375
Belarus,2021,1148000,9024555,344819.78125,6257
Belgium,2021,449890,11060741,3800,14934
Belize,2021,108743,54570,25242,264582
Benin,2021,1628148.875,50334,5945375,18924
Bhutan,2021,30938.640625,20000,183200,13670.25
Bolivia,2021,1224719.625,1812000,3810,1208
Bosnia and Herzegovina,2021,893124,9335000,11642.2099609375,20326
Botswana,2021,67436.109375,278281,28642.2890625,57420
Brazil,2021,88461944,1458247.75,331527.84375,1593.6199951171875
Bulgaria,2021,3427310,10179.8095703125,190400,13234959
Burkina Faso,2021,1913000,1232527.875,270000,24732.779296875
Burundi,2021,280000,7824,2650,86469
Cambodia,2021,920000,156649,2277.93994140625,183000
Cameroon,2021,2100146.75,168569008,2346.050048828125,6922.64990234375
Canada,2021,13983859,171318864,800,17203.51953125
Cape Verde,2021,449,1741600,48000,76869.46875
Caribbean (FAO),2021,502699.09375,13000,0,1179125
Central African Republic,2021,90000,920,3900000,932.4000244140625
Central America (FAO),2021,31644210,224452,345.8599853515625,609158.75
Central Asia (FAO),2021,2658362.75,195744,22500,1800
Chad,2021,364630.6875,2153000,70000,703003
Chile,2021,793821.75,566400,1465.7900390625,230758.84375
China,2021,272552000,314780,49826,6155.64990234375
China (FAO),2021,272762112,566501,152216.765625,630985.375
Colombia,2021,1591400,33585,156103.203125,13216000
Comoros,2021,6288.7001953125,3841362.5,145700,13808618
Congo,2021,13000,221281008,479385,1478922.75
Costa Rica,2021,6246,525294,2357105,569.90997314453125
Cote d'Ivoire,2021,1140000,1289684,17000,6563.91015625
Croatia,2021,2242120,2591000,21500,36
Cuba,2021,238721,79616,19138368,19547
Czechia,2021,988040,66055,1671361,123700
Democratic Republic of Congo,2021,2243379,9765.5498046875,52831364,52000
Denmark,2021,45270,2163240,20000,94712
Djibouti,2021,16.989999771118164,3608280.5,20000,4572
Dominica,2021,193.42999267578125,3608280.5,2000,180750
Dominican Republic,2021,54725.12109375,2780381.5,201752,5300
East Timor,2021,56058,2780381.5,768140,60300
Eastern Africa (FAO),2021,36907480,14870,4622535,95
Eastern Asia (FAO),2021,275140288,106723,10500,24000
Eastern Europe (FAO),2021,95852112,23461,1000,640
Ecuador,2021,1699369.625,1701.2900390625,31136000,118350
Egypt,2021,7500000,28000,130,842853
El Salvador,2021,881000,604000,676201.375,1130102
Eritrea,2021,20000,82500,115000,2315886
Estonia,2021,0,121000,113000,2425173
Eswatini,2021,100000,47932,237802,148000
Ethiopia,2021,10722000,32826.48046875,361443.8125,48000
Europe,2021,141847696,110000,16356,46240
Europe (FAO),2021,141847696,275500,178000,208
European Union (27),2021,72987920,135112,27122,9172
European Union (27) (FAO),2021,72987920,34202960,31300,6000
Fiji,2021,1438,34253,2633,56900
Finland,2021,0,31917,2861,54950
France,2021,15358300,3,12429,10075471
Gabon,2021,45172.921875,55497008,63770.80859375,4519606
Gambia,2021,20000,11595000,23.219999313354492,4631097
Georgia,2021,233000,48181088,4569,7479107
Germany,2021,4462400,2280764,2147,14429
Ghana,2021,3500000,206000,1300,100860
Greece,2021,1322940,1245900,800,1049150
Grenada,2021,382.66000366210938,516,543188,22.5
Guatemala,2021,1960000,10695000,24500,1760
Guinea,2021,798327,40425,511863,351
Guinea-Bissau,2021,16971,17269,511863,11600
Guyana,2021,4000,9892512,23000,837134
Haiti,2021,200000,2710050,1186,37247
High-income countries,2021,455326880,81199272,115000,126000
Honduras,2021,673592.25,100000,10000,710
Hungary,2021,6424630,215968016,530412,5795
India,2021,31650000,8803175,7346,990
Indonesia,2021,20010000,318661728,255,158.89999389648438
Iran,2021,320169.71875,2450000,690526.5625,2530
Iraq,2021,374400,52077,40997,2250
Ireland,2021,0,92833,52755,2790
Israel,2021,68224,2036641,32744786,7098960
Italy,2021,6079960,727140,35550328,4700
Jamaica,2021,2122,52813,256610,26500
Japan,2021,166.5,0,5062278.5,117500
Jordan,2021,25000,17495,1040,250
Kazakhstan,2021,1129508.5,405385,23932684,2736
Kenya,2021,3303000,105.56999969482422,207093.59375,698000
Kuwait,2021,12833,137051,4965.2001953125,371700
